Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.LINE_0, 5.53303E-009, -0.2950737, 5.53303E-009, -0.2950737, 0, 0
Line.LINE_1, 2.66409E-010, -0.003232818, 2.66409E-010, -0.003232818, 0, 0
Line.LINE_2, 2.66409E-010, -0.003232818, 2.66409E-010, -0.003232818, 0, 0
Line.LINE_3, -3.128719E-010, -0.004767894, -3.128719E-010, -0.004767894, 0, 0
Line.LINE_4, -2.528771E-010, -0.001846497, -2.528771E-010, -0.001846497, 0, 0
Line.LINE_5, -2.528771E-010, -0.001846497, -2.528771E-010, -0.001846497, 0, 0
Line.LINE_6, -8.1097E-010, -0.00149645, -8.1097E-010, -0.00149645, 0, 0
Line.LINE_7, -5.674194E-010, -0.00149645, -5.674194E-010, -0.00149645, 0, 0
Line.LINE_8, -8.1097E-010, -0.00149645, -8.1097E-010, -0.00149645, 0, 0
Line.LINE_9, -5.674194E-010, -0.00149645, -5.674194E-010, -0.00149645, 0, 0
Line.LINE_10, 4.689244E-010, -0.0008405314, 4.689244E-010, -0.0008405314, 0, 0
Line.LINE_11, -1.118915E-009, -0.0008405321, -1.118915E-009, -0.0008405321, 0, 0
Line.LINE_12, 6.282255E-010, -0.0008405324, 6.282255E-010, -0.0008405324, 0, 0
Line.LINE_13, -2.057662E-009, -0.000149639, -2.057662E-009, -0.000149639, 0, 0
Line.LINE_14, -2.057662E-009, -0.000149639, -2.057662E-009, -0.000149639, 0, 0
Line.LINE_15, -3.877322E-009, -0.0001496467, -3.877322E-009, -0.0001496467, 0, 0
Line.LINE_16, -3.877322E-009, -0.0001496467, -3.877322E-009, -0.0001496467, 0, 0
Line.LINE_17, -3.210534E-009, -0.000149643, -3.210534E-009, -0.000149643, 0, 0
Line.LINE_18, -3.210534E-009, -0.000149643, -3.210534E-009, -0.000149643, 0, 0
Line.LINE_19, -2.742293E-009, -0.0001496486, -2.742293E-009, -0.0001496486, 0, 0
Line.LINE_20, -2.742293E-009, -0.0001496486, -2.742293E-009, -0.0001496486, 0, 0
Line.LINE_21, 4.689244E-010, -0.0008405314, 4.689244E-010, -0.0008405314, 0, 0
Line.LINE_22, -1.118915E-009, -0.0008405321, -1.118915E-009, -0.0008405321, 0, 0
Line.LINE_23, 6.282255E-010, -0.0008405324, 6.282255E-010, -0.0008405324, 0, 0
Line.LINE_24, -2.057662E-009, -0.000149639, -2.057662E-009, -0.000149639, 0, 0
Line.LINE_25, -2.057662E-009, -0.000149639, -2.057662E-009, -0.000149639, 0, 0
Line.LINE_26, -3.877322E-009, -0.0001496467, -3.877322E-009, -0.0001496467, 0, 0
Line.LINE_27, -3.877322E-009, -0.0001496467, -3.877322E-009, -0.0001496467, 0, 0
Line.LINE_28, -3.210534E-009, -0.000149643, -3.210534E-009, -0.000149643, 0, 0
Line.LINE_29, -3.210534E-009, -0.000149643, -3.210534E-009, -0.000149643, 0, 0
Line.LINE_30, -2.742293E-009, -0.0001496486, -2.742293E-009, -0.0001496486, 0, 0
Line.LINE_31, -2.742293E-009, -0.0001496486, -2.742293E-009, -0.0001496486, 0, 0
Line.LINE_32, 4.944179E-010, -0.0007781538, 4.944179E-010, -0.0007781538, 0, 0
Line.LINE_33, 1.130362E-009, -0.0007781542, 1.130362E-009, -0.0007781542, 0, 0
Line.LINE_34, 5.949378E-010, -0.000778154, 5.949378E-010, -0.000778154, 0, 0
Line.LINE_35, -4.897209E-010, -0.0007781543, -4.897209E-010, -0.0007781543, 0, 0
Line.LINE_36, 2.468742E-009, -0.0001496438, 2.468742E-009, -0.0001496438, 0, 0
Line.LINE_37, 2.468742E-009, -0.0001496438, 2.468742E-009, -0.0001496438, 0, 0
Line.LINE_38, 3.184646E-009, -0.0001496425, 3.184646E-009, -0.0001496425, 0, 0
Line.LINE_39, 3.184646E-009, -0.0001496425, 3.184646E-009, -0.0001496425, 0, 0
Line.LINE_40, -2.742544E-009, -0.0001496478, -2.742544E-009, -0.0001496478, 0, 0
Line.LINE_41, -2.742544E-009, -0.0001496478, -2.742544E-009, -0.0001496478, 0, 0
Line.LINE_42, -2.364216E-009, -0.0001496458, -2.364216E-009, -0.0001496458, 0, 0
Line.LINE_43, -2.364216E-009, -0.0001496458, -2.364216E-009, -0.0001496458, 0, 0
Line.LINE_44, -2.057988E-009, -0.0001496464, -2.057988E-009, -0.0001496464, 0, 0
Line.LINE_45, -2.057988E-009, -0.0001496464, -2.057988E-009, -0.0001496464, 0, 0
Line.LINE_46, 5.74651E-011, -0.0007781543, 5.74651E-011, -0.0007781543, 0, 0
Line.LINE_47, 7.08604E-010, -0.0007781552, 7.08604E-010, -0.0007781552, 0, 0
Line.LINE_48, -1.148138E-009, -0.0007781546, -1.148138E-009, -0.0007781546, 0, 0
Line.LINE_49, 1.289975E-009, -0.0007781543, 1.289975E-009, -0.0007781543, 0, 0
Line.LINE_50, -2.05787E-009, -0.0001496451, -2.05787E-009, -0.0001496451, 0, 0
Line.LINE_51, -2.05787E-009, -0.0001496451, -2.05787E-009, -0.0001496451, 0, 0
Line.LINE_52, -2.274256E-009, -0.0001496486, -2.274256E-009, -0.0001496486, 0, 0
Line.LINE_53, -2.274256E-009, -0.0001496486, -2.274256E-009, -0.0001496486, 0, 0
Line.LINE_54, -3.104276E-010, -0.0001496464, -3.104276E-010, -0.0001496464, 0, 0
Line.LINE_55, -3.104276E-010, -0.0001496464, -3.104276E-010, -0.0001496464, 0, 0
Line.LINE_56, 5.633137E-010, -0.0001496449, 5.633137E-010, -0.0001496449, 0, 0
Line.LINE_57, 5.633137E-010, -0.0001496449, 5.633137E-010, -0.0001496449, 0, 0
Line.LINE_58, 9.505971E-011, -0.0001496431, 9.505971E-011, -0.0001496431, 0, 0
Line.LINE_59, 4.944179E-010, -0.0007781538, 4.944179E-010, -0.0007781538, 0, 0
Line.LINE_60, 1.130362E-009, -0.0007781542, 1.130362E-009, -0.0007781542, 0, 0
Line.LINE_61, 5.949378E-010, -0.000778154, 5.949378E-010, -0.000778154, 0, 0
Line.LINE_62, -4.897209E-010, -0.0007781543, -4.897209E-010, -0.0007781543, 0, 0
Line.LINE_63, 2.468742E-009, -0.0001496438, 2.468742E-009, -0.0001496438, 0, 0
Line.LINE_64, 2.468742E-009, -0.0001496438, 2.468742E-009, -0.0001496438, 0, 0
Line.LINE_65, 3.184646E-009, -0.0001496425, 3.184646E-009, -0.0001496425, 0, 0
Line.LINE_66, 3.184646E-009, -0.0001496425, 3.184646E-009, -0.0001496425, 0, 0
Line.LINE_67, -2.742544E-009, -0.0001496478, -2.742544E-009, -0.0001496478, 0, 0
Line.LINE_68, -2.742544E-009, -0.0001496478, -2.742544E-009, -0.0001496478, 0, 0
Line.LINE_69, -2.364216E-009, -0.0001496458, -2.364216E-009, -0.0001496458, 0, 0
Line.LINE_70, -2.364216E-009, -0.0001496458, -2.364216E-009, -0.0001496458, 0, 0
Line.LINE_71, -2.057988E-009, -0.0001496464, -2.057988E-009, -0.0001496464, 0, 0
Line.LINE_72, -2.057988E-009, -0.0001496464, -2.057988E-009, -0.0001496464, 0, 0
Line.LINE_73, 5.74651E-011, -0.0007781543, 5.74651E-011, -0.0007781543, 0, 0
Line.LINE_74, 7.08604E-010, -0.0007781552, 7.08604E-010, -0.0007781552, 0, 0
Line.LINE_75, -1.148138E-009, -0.0007781546, -1.148138E-009, -0.0007781546, 0, 0
Line.LINE_76, 1.289975E-009, -0.0007781543, 1.289975E-009, -0.0007781543, 0, 0
Line.LINE_77, -2.05787E-009, -0.0001496451, -2.05787E-009, -0.0001496451, 0, 0
Line.LINE_78, -2.05787E-009, -0.0001496451, -2.05787E-009, -0.0001496451, 0, 0
Line.LINE_79, -2.274256E-009, -0.0001496486, -2.274256E-009, -0.0001496486, 0, 0
Line.LINE_80, -2.274256E-009, -0.0001496486, -2.274256E-009, -0.0001496486, 0, 0
Line.LINE_81, -3.104276E-010, -0.0001496464, -3.104276E-010, -0.0001496464, 0, 0
Line.LINE_82, -3.104276E-010, -0.0001496464, -3.104276E-010, -0.0001496464, 0, 0
Line.LINE_83, 5.633137E-010, -0.0001496449, 5.633137E-010, -0.0001496449, 0, 0
Line.LINE_84, 5.633137E-010, -0.0001496449, 5.633137E-010, -0.0001496449, 0, 0
Line.LINE_85, 9.505971E-011, -0.0001496431, 9.505971E-011, -0.0001496431, 0, 0
Transformer.T0, 2.47188E-010, 1, 2.47188E-010, 1, 0, 0
Transformer.T1, 1.227733E-011, 0.125, 1.227733E-011, 0.125, 0, 0
Transformer.T2, 6.005341E-011, 0.125, 6.005341E-011, 0.125, 0, 0
