,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,277.012,-0.01,277.022,119.99,276.998,-120.01
0,277.014,0.0,277.011,120.0,277.012,-120.0
0,277.014,0.0,277.011,120.0,277.012,-120.0
0,277.014,0.0,277.011,120.0,277.012,-120.0
0,277.014,0.0,277.011,120.0,277.012,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.001,-0.04,277.058,119.98,276.956,-120.02
0,277.045,-0.06,277.001,119.96,276.944,-120.05
0,277.085,-0.07,276.948,119.95,276.93,-120.09
0,277.094,-0.08,276.936,119.94,276.925,-120.09
0,277.092,-0.08,276.938,119.94,276.926,-120.09
0,277.064,-0.09,276.93,119.93,276.949,-120.1
0,277.051,-0.08,276.946,119.93,276.954,-120.09
0,277.033,-0.09,276.923,119.91,276.972,-120.11
0,276.969,-0.11,276.903,119.87,277.019,-120.14
0,276.969,-0.11,276.904,119.87,277.02,-120.14
0,276.941,-0.16,276.948,119.84,276.961,-120.16
0,276.877,-0.18,276.93,119.8,276.997,-120.18
0,276.882,-0.26,276.888,119.74,276.902,-120.26
0,276.944,-0.25,276.932,119.77,276.836,-120.24
0,276.926,-0.27,276.912,119.75,276.833,-120.26
0,276.954,-0.26,276.88,119.76,276.846,-120.27
0,277.003,-0.21,276.84,119.79,276.903,-120.24
0,277.009,-0.25,276.823,119.77,276.855,-120.27
0,276.964,-0.23,276.854,119.77,276.907,-120.25
0,276.992,-0.24,276.827,119.77,276.887,-120.26
0,276.924,-0.23,276.813,119.75,276.952,-120.26
0,276.904,-0.24,276.876,119.75,276.93,-120.25
0,276.873,-0.22,276.852,119.75,276.996,-120.24
0,276.853,-0.2,276.823,119.75,277.049,-120.23
0,276.829,-0.19,276.806,119.75,277.102,-120.22
0,276.839,-0.19,276.821,119.75,277.083,-120.22
0,276.814,-0.18,276.852,119.76,277.101,-120.2
0,276.864,-0.14,276.883,119.81,277.093,-120.16
0,276.883,-0.14,276.828,119.8,277.111,-120.18
0,276.897,-0.12,276.812,119.81,277.13,-120.17
0,276.975,-0.08,276.866,119.88,277.08,-120.12
0,276.987,-0.07,276.891,119.9,277.066,-120.1
0,277.055,-0.05,276.911,119.95,277.014,-120.07
0,277.013,-0.05,276.918,119.93,277.042,-120.08
0,277.024,-0.05,276.902,119.93,277.038,-120.09
0,276.995,-0.04,276.94,119.94,277.048,-120.06
0,276.95,-0.02,276.998,119.96,277.06,-120.03
0,277.003,-0.04,277.021,119.97,276.981,-120.03
0,277.005,-0.08,276.95,119.92,276.999,-120.09
0,277.076,-0.09,276.935,119.93,276.932,-120.11
0,277.053,-0.08,276.967,119.94,276.94,-120.09
0,277.027,-0.07,277.001,119.95,276.949,-120.06
0,277.03,-0.02,276.966,119.97,277.015,-120.04
0,277.003,-0.03,276.97,119.96,277.032,-120.04
0,276.993,-0.03,276.968,119.96,277.04,-120.04
0,276.993,-0.03,276.968,119.96,277.04,-120.04
0,276.99,-0.04,276.978,119.95,277.029,-120.04
0,276.978,-0.07,277.017,119.94,276.98,-120.06
0,276.978,-0.07,277.016,119.94,276.981,-120.06
0,276.916,-0.07,277.023,119.91,277.023,-120.06
0,276.907,-0.07,277.033,119.92,277.024,-120.06
0,276.931,-0.06,277.039,119.93,277.007,-120.05
0,276.938,-0.06,277.041,119.94,277.001,-120.05
0,276.938,-0.06,277.041,119.94,277.001,-120.05
0,276.938,-0.06,277.041,119.93,277.001,-120.05
0,276.934,-0.07,277.053,119.93,276.985,-120.05
0,276.934,-0.07,277.053,119.93,276.985,-120.05
0,276.934,-0.07,277.053,119.93,276.986,-120.05
0,276.934,-0.07,277.054,119.93,276.985,-120.05
0,276.934,-0.07,277.054,119.93,276.985,-120.05
0,276.945,-0.04,277.018,119.95,277.031,-120.04
0,276.945,-0.04,277.018,119.95,277.031,-120.04
0,276.944,-0.04,277.02,119.95,277.032,-120.03
0,276.944,-0.04,277.02,119.95,277.032,-120.03
0,276.944,-0.04,277.02,119.95,277.031,-120.03
0,277.005,-0.02,277.034,119.99,276.984,-120.01
0,277.005,-0.02,277.033,119.99,276.985,-120.01
0,277.011,0.0,277.009,120.0,277.015,-120.0
0,277.01,0.0,277.01,120.0,277.016,-120.0
0,277.009,0.0,277.013,119.99,277.012,-120.0
0,277.006,-0.02,277.033,119.99,276.986,-120.01
0,277.051,-0.04,276.976,119.97,276.975,-120.05
0,277.053,-0.04,276.976,119.97,276.973,-120.05
0,276.998,-0.06,276.964,119.94,277.015,-120.07
0,276.998,-0.06,276.964,119.94,277.015,-120.07
0,276.972,-0.05,276.937,119.93,277.068,-120.07
0,276.947,-0.03,276.971,119.94,277.075,-120.04
0,276.98,-0.01,277.006,119.98,277.039,-120.01
0,276.981,-0.01,277.007,119.98,277.037,-120.01
0,276.97,-0.04,277.05,119.96,276.983,-120.03
0,276.97,-0.04,277.05,119.96,276.983,-120.03
0,277.001,-0.04,277.057,119.98,276.958,-120.02
0,277.002,-0.04,277.056,119.98,276.958,-120.02
0,277.001,-0.04,277.057,119.98,276.958,-120.02
0,277.001,-0.04,277.057,119.98,276.958,-120.02
0,277.002,-0.03,277.055,119.98,276.96,-120.02
0,277.004,-0.03,277.048,119.99,276.969,-120.01
0,277.0,-0.04,277.061,119.98,276.953,-120.02
0,277.0,-0.04,277.061,119.98,276.952,-120.02
0,277.0,-0.04,277.06,119.98,276.953,-120.02
0,277.0,-0.04,277.061,119.98,276.953,-120.02
0,277.002,-0.03,277.055,119.98,276.959,-120.02
0,277.001,-0.03,277.056,119.98,276.958,-120.02
0,277.002,-0.03,277.055,119.98,276.96,-120.02
0,277.001,-0.03,277.056,119.98,276.959,-120.02
0,277.001,-0.04,277.056,119.98,276.958,-120.02
0,277.008,-0.01,277.03,119.99,276.991,-120.01
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,276.999,-0.04,277.062,119.98,276.951,-120.02
0,276.999,-0.04,277.062,119.98,276.951,-120.02
0,276.999,-0.04,277.062,119.98,276.951,-120.02
